,Colors,Satisfaction_levels,Temperature,Income
0,crimson,Medium,67,300310
1,purple,Low,26,194925
2,red,High,6,803191
3,yellow,Medium,11,719322
4,yellow,Low,81,587929
5,yellow,Medium,55,256976
6,blue,Low,43,113595
7,yellow,High,67,161163
8,purple,High,20,48825
9,green,Medium,91,878068
10,crimson,Medium,92,566927
11,red,Low,14,107628
12,red,Medium,14,300088
13,crimson,High,80,695589
14,green,High,99,295490
15,blue,High,63,101996
16,red,Medium,43,941131
17,blue,Low,27,61935
18,purple,High,87,29019
19,blue,High,20,908085
20,purple,Medium,23,519172
21,red,Medium,34,158737
22,blue,Medium,32,518174
23,crimson,Medium,65,288652
24,yellow,Low,22,955436
25,red,Medium,21,752016
26,yellow,Low,57,936578
27,purple,Low,68,602277
28,red,High,45,658740
29,green,High,39,21660
30,yellow,Medium,24,444607
31,red,High,86,214402
32,blue,Low,17,181299
33,yellow,Medium,52,551029
34,purple,Medium,90,285007
35,yellow,Medium,8,939546
36,yellow,Medium,5,204070
37,red,High,97,970340
38,blue,Medium,86,41705
39,blue,Low,82,478264
40,blue,Medium,10,655823
41,red,High,62,568768
42,green,Low,29,386538
43,crimson,High,11,538874
44,yellow,High,30,303099
45,yellow,High,71,54064
46,green,High,58,808194
47,crimson,Medium,94,764598
48,green,High,42,746141
49,red,Medium,85,168508
50,red,Medium,71,98108
51,crimson,High,25,448657
52,purple,Low,54,813445
53,purple,High,83,292985
54,red,High,25,365221
55,crimson,Medium,45,631747
56,blue,Medium,3,602347
57,crimson,Medium,84,788947
58,blue,Medium,83,465005
59,green,High,37,866520
60,green,Low,33,764927
61,red,Low,60,467966
62,blue,Low,89,76581
63,blue,Low,7,734781
64,blue,Medium,60,542233
65,blue,High,37,101845
66,yellow,Medium,84,81889
67,yellow,Medium,98,139272
68,green,High,16,72378
69,yellow,High,45,92988
70,red,High,39,315911
71,yellow,Medium,33,694215
72,purple,Low,97,724097
73,crimson,Medium,65,577161
74,blue,Medium,73,403663
75,green,High,87,820877
76,crimson,Medium,68,50624
77,yellow,Low,24,270233
78,crimson,Low,6,229156
79,crimson,Medium,97,861142
80,crimson,High,60,55200
81,yellow,Medium,88,896811
82,crimson,Low,61,913107
83,crimson,Low,59,594051
84,crimson,Medium,74,233956
85,red,Low,29,437562
86,crimson,Medium,28,314415
87,yellow,Low,24,829457
88,green,High,3,110844
89,purple,Low,82,608650
90,purple,Medium,21,991664
91,purple,Medium,6,606612
92,red,High,84,45670
93,blue,Low,21,833816
94,purple,Medium,27,931455
95,blue,Low,26,397858
96,yellow,High,89,196636
97,red,Medium,64,936753
98,purple,High,3,621330
99,red,Medium,53,982369
100,blue,Low,37,919232
101,green,Medium,7,87809
102,crimson,High,80,521158
103,green,Medium,75,972900
